"","read","size","intended_classize","observed_classize","math","degree","income","read.home","internet","likes.math","likes.sci","likes.read"
"1",58,8,8,8,96.3106830138713,TRUE,1,FALSE,TRUE,2,2,5
"2",82.629997253418,9,9,9,28.7677398417145,TRUE,2,FALSE,FALSE,3,6,1
"3",46.3300018310547,9,9,9,9.92994229309261,TRUE,3,TRUE,TRUE,4,5,5
"4",66.5599975585938,9,9,11,31.5165155800059,FALSE,1,TRUE,FALSE,3,1,2
"5",75,10,10,10,11.0523780807853,FALSE,1,TRUE,TRUE,3,6,7
"6",80.5599975585938,10,10,10,38.0849681794643,TRUE,1,TRUE,TRUE,3,7,2
"7",84.4400024414062,10,10,10,1.40995290130377,FALSE,3,FALSE,FALSE,2,2,1
"8",77.4000015258789,10,10,10,89.7872896166518,FALSE,3,TRUE,TRUE,4,4,4
"9",87.4499969482422,11,11,11,8.86644441634417,FALSE,1,FALSE,FALSE,5,7,6
"10",69.25,11,11,17,38.4996160399169,TRUE,1,TRUE,TRUE,4,5,5
"11",59.7799987792969,11,11,11,2.17542448081076,FALSE,2,TRUE,FALSE,5,7,3
"12",57.0900001525879,12,12,12,28.9219577098265,FALSE,3,TRUE,FALSE,4,3,1
"13",68.8000030517578,12,12,12,76.5622901031747,FALSE,2,FALSE,TRUE,5,5,6
"14",58.8300018310547,12,12,12,5.5803616065532,TRUE,2,FALSE,TRUE,4,2,4
"15",74,12,12,12,23.7171303480864,FALSE,1,FALSE,TRUE,1,4,6
"16",77.2699966430664,12,12,12,64.5228154258803,FALSE,2,TRUE,TRUE,4,2,4
"17",80,13,13,14,80.013948911801,TRUE,1,FALSE,FALSE,4,6,4
"18",72.9199981689453,13,13,12,7.89692034013569,FALSE,1,FALSE,FALSE,2,3,4
"19",86,13,13,13,99.6364580933005,TRUE,1,TRUE,TRUE,6,3,6
"20",82.6699981689453,14,14,16,91.7540984693915,TRUE,2,FALSE,TRUE,3,4,4
"21",78.1999969482422,14,14,15,21.0305446758866,FALSE,3,TRUE,FALSE,2,1,4
"22",86.0999984741211,14,14,14,96.7085019452497,TRUE,1,TRUE,TRUE,4,6,6
"23",64.379997253418,14,14,14,96.0697721457109,FALSE,2,FALSE,FALSE,6,3,2
"24",86,14,14,14,41.2316110916436,FALSE,3,FALSE,TRUE,3,4,5
"25",73.5,14,14,14,78.7276050308719,FALSE,3,FALSE,FALSE,2,7,4
"26",74.6900024414062,14,14,14,4.16773071046919,FALSE,1,TRUE,FALSE,4,4,5
"27",68,15,15,15,84.3717441428453,TRUE,1,TRUE,FALSE,5,3,2
"28",84.5299987792969,15,15,15,47.0095104072243,TRUE,2,FALSE,TRUE,6,3,5
"29",84.5999984741211,15,15,16,78.7899907911196,FALSE,3,FALSE,FALSE,1,2,4
"30",59,15,15,15,93.5527877649292,TRUE,2,TRUE,TRUE,5,6,6
"31",72.129997253418,15,15,15,72.5873827934265,TRUE,2,FALSE,TRUE,7,6,2
"32",80.1699981689453,15,15,15,73.7547742668539,FALSE,1,TRUE,TRUE,7,2,2
"33",80.879997253418,16,16,16,55.4065938107669,TRUE,1,FALSE,TRUE,2,6,1
"34",82.129997253418,16,16,16,66.3797279121354,TRUE,3,TRUE,TRUE,6,5,7
"35",73.2699966430664,16,16,16,10.333408229053,FALSE,2,FALSE,FALSE,6,4,6
"36",78.629997253418,16,16,16,0.479537784121931,TRUE,2,TRUE,TRUE,6,4,2
"37",74,16,16,16,33.4612119011581,FALSE,2,TRUE,FALSE,5,6,5
"38",77.8099975585938,17,17,17,45.7999120699242,FALSE,1,FALSE,TRUE,3,4,6
"39",63,17,17,16,29.8850803403184,FALSE,2,TRUE,TRUE,3,5,3
"40",72,17,17,17,81.2838643789291,FALSE,2,TRUE,FALSE,2,3,3
"41",73.0599975585938,17,17,17,83.5756476270035,FALSE,1,TRUE,FALSE,3,6,2
"42",77,17,17,17,29.782723612152,FALSE,1,FALSE,FALSE,7,6,1
"43",70.4400024414062,17,17,17,79.0084213251248,FALSE,2,TRUE,FALSE,2,6,4
"44",81.5299987792969,17,17,17,38.4449111297727,TRUE,2,FALSE,FALSE,3,4,6
"45",63.2400016784668,17,17,17,19.1795057849959,FALSE,2,TRUE,TRUE,2,6,2
"46",67,17,17,17,34.6477799583226,FALSE,2,FALSE,TRUE,4,4,6
"47",81.5899963378906,18,18,18,38.2180360145867,FALSE,2,TRUE,TRUE,6,2,6
"48",73.879997253418,18,18,18,82.9516915371642,TRUE,1,TRUE,FALSE,3,2,6
"49",62.689998626709,18,18,18,50.2139563206583,TRUE,3,FALSE,FALSE,4,3,5
"50",82.6699981689453,18,18,18,14.336322969757,TRUE,2,FALSE,FALSE,2,6,7
"51",71.2900009155273,18,18,18,71.1785910418257,TRUE,1,TRUE,FALSE,4,3,3
"52",44.189998626709,19,19,19,44.3746162578464,FALSE,3,FALSE,FALSE,2,5,1
"53",84.2799987792969,19,19,19,88.5157107142732,FALSE,2,FALSE,FALSE,3,7,3
"54",85.129997253418,19,19,19,75.5323602119461,TRUE,2,TRUE,FALSE,5,2,6
"55",74,19,19,19,26.3518392108381,TRUE,2,FALSE,FALSE,7,6,4
"56",84.7900009155273,19,19,19,86.6511814063415,FALSE,2,TRUE,TRUE,4,3,3
"57",76.879997253418,19,19,19,80.1657519070432,TRUE,2,FALSE,TRUE,3,1,6
"58",78.9100036621094,19,19,19,48.700350895524,FALSE,2,TRUE,FALSE,7,5,4
"59",81.2900009155273,19,19,19,81.9705058820546,TRUE,2,TRUE,TRUE,3,4,5
"60",76.7200012207031,19,19,19,95.0841107405722,TRUE,2,FALSE,TRUE,1,2,5
"61",76,19,19,19,81.5737444441766,FALSE,2,FALSE,FALSE,7,6,4
"62",79.9499969482422,19,19,19,67.1397596364841,TRUE,3,FALSE,FALSE,6,5,3
"63",77.4199981689453,19,19,19,24.8211028520018,FALSE,2,TRUE,TRUE,3,4,6
"64",65.5999984741211,20,20,20,3.64057957194746,TRUE,3,FALSE,TRUE,2,5,7
"65",73.6699981689453,20,20,20,79.9145089928061,FALSE,2,TRUE,FALSE,5,4,1
"66",64,20,20,20,55.8688059449196,TRUE,2,TRUE,FALSE,7,4,2
"67",75.6999969482422,20,20,20,83.0333471763879,FALSE,3,TRUE,FALSE,5,3,4
"68",69.75,20,20,20,10.4123240569606,TRUE,1,FALSE,FALSE,4,2,1
"69",61.5800018310547,20,20,20,48.3830169541761,TRUE,1,TRUE,FALSE,4,4,4
"70",79.7399978637695,20,20,20,56.2028495594859,FALSE,2,FALSE,TRUE,2,5,5
"71",77.4800033569336,20,20,20,56.7463521379977,TRUE,3,FALSE,TRUE,6,6,1
"72",79.3300018310547,20,20,20,16.4973969105631,FALSE,3,FALSE,FALSE,7,2,4
"73",79,20,20,20,15.7130572479218,TRUE,2,FALSE,FALSE,6,3,5
"74",82.7200012207031,20,20,20,67.6416982896626,FALSE,3,FALSE,TRUE,5,1,4
"75",76.8899993896484,20,20,20,59.5671159680933,TRUE,3,FALSE,TRUE,4,6,5
"76",53,20,20,20,49.5787171879783,FALSE,3,TRUE,FALSE,2,5,3
"77",78,20,20,20,32.0473750587553,FALSE,2,TRUE,FALSE,4,7,3
"78",78.5899963378906,20,20,20,63.1777100265026,FALSE,2,TRUE,TRUE,5,7,5
"79",79.4100036621094,20,20,20,99.3224164936692,FALSE,1,TRUE,TRUE,5,2,3
"80",74,20,20,20,22.4414505297318,FALSE,2,TRUE,FALSE,1,3,2
"81",70.4499969482422,20,20,20,76.5362573554739,TRUE,2,TRUE,FALSE,4,6,2
"82",59.2900009155273,21,21,21,87.538360315375,TRUE,2,TRUE,TRUE,6,3,1
"83",82,21,21,21,16.6403300128877,FALSE,3,TRUE,FALSE,3,1,6
"84",67.4800033569336,21,21,21,67.0658776769415,FALSE,1,TRUE,TRUE,1,2,5
"85",76.25,21,21,21,54.8547995043918,TRUE,2,TRUE,TRUE,5,5,1
"86",76.25,21,21,21,88.0761268315837,FALSE,3,FALSE,FALSE,5,5,6
"87",78.0999984741211,21,21,21,28.1823724042624,FALSE,1,TRUE,TRUE,7,5,2
"88",60.9300003051758,21,21,21,74.8052586335689,FALSE,2,TRUE,TRUE,7,1,2
"89",57.8899993896484,21,21,21,44.5227195741609,TRUE,2,TRUE,FALSE,1,1,2
"90",75.379997253418,21,21,21,77.3693597642705,FALSE,3,FALSE,TRUE,6,1,3
"91",66.2099990844727,21,21,15,48.7303355708718,FALSE,2,TRUE,FALSE,6,3,2
"92",65.1500015258789,21,21,21,40.880079404451,TRUE,3,TRUE,FALSE,3,5,4
"93",70.0500030517578,21,21,21,80.858620069921,TRUE,2,TRUE,TRUE,4,4,2
